Points:0,Exx,Eyy,Ezz,Exy,Eyz,Exz,Stress-xx,Stress-yy,Stress-zz,Stress-xy,Stress-yz,Stress-xz
1698.8,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.9,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1698.9,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1699,-0.00223798,0.00206857,0.0006628,-1.404576E-07,2.17621E-06,0.00061916,0.19104,104.06,98.286,7.4671,-0.00040296,0.0065322
1699.1,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.1,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.2,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.2,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.3,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.4,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.4,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.5,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.5,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.6,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.7,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.7,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.8,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.8,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1699.9,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
1700,-0.00223567,0.00206601,0.00066271,-4.77179E-08,7.64772E-07,0.00061846,0.26081,105.3,96.863,7.5513,-0.00015719,0.0028468
